orderId,email,createdAt,status,channel,total
1001,anna@shop.io,2026-02-08,delivered,mobile,5480.00
1002,anna@shop.io,2026-02-07,delivered,mobile,6780.00
1003,ivan@shop.io,2026-03-18,delivered,web,3490.00
1004,petr@shop.io,2026-02-06,shipped,mobile,15570.00
1005,maria@shop.io,2026-03-07,delivered,mobile,1790.00
1006,maria@shop.io,2026-02-28,delivered,mobile,28270.00
1007,oleg@shop.io,2026-03-14,delivered,mobile,9480.00
1008,oleg@shop.io,2026-04-01,delivered,web,8570.00
1009,daria@shop.io,2026-02-25,cancelled,mobile,7990.00
1010,daria@shop.io,2026-03-22,delivered,web,3290.00
1011,daria@shop.io,2026-02-18,delivered,mobile,2790.00
1012,daria@shop.io,2026-03-10,delivered,web,9580.00
1013,sergey@shop.io,2026-01-22,delivered,web,11990.00
1014,sergey@shop.io,2026-03-30,shipped,mobile,10980.00
1015,sergey@shop.io,2026-01-23,delivered,web,17270.00
1016,elena@shop.io,2026-03-02,delivered,mobile,7870.00
1017,nikita@shop.io,2026-03-03,delivered,mobile,5490.00
1018,nikita@shop.io,2026-03-07,shipped,mobile,5490.00
1019,nikita@shop.io,2026-03-17,delivered,web,6990.00
1020,olga@shop.io,2026-01-13,shipped,mobile,7990.00
1021,artem@shop.io,2026-03-23,delivered,mobile,11990.00
1022,artem@shop.io,2026-03-03,delivered,mobile,5280.00
1023,julia@shop.io,2026-02-02,shipped,mobile,32980.00
1024,julia@shop.io,2026-03-05,shipped,web,44470.00
1025,denis@shop.io,2026-01-11,delivered,web,6990.00
1026,denis@shop.io,2026-02-28,cancelled,mobile,3490.00
1027,denis@shop.io,2026-02-19,shipped,mobile,8990.00
1028,denis@shop.io,2026-02-07,cancelled,mobile,2990.00
1029,ksenia@shop.io,2026-03-25,shipped,web,5580.00
1030,ksenia@shop.io,2026-03-15,delivered,mobile,9770.00
1031,ksenia@shop.io,2026-03-21,delivered,mobile,2490.00
1032,roman@shop.io,2026-03-07,shipped,mobile,7270.00
1033,alina@shop.io,2026-03-25,delivered,mobile,10570.00
1034,egor@shop.io,2026-02-19,delivered,web,7480.00
1035,egor@shop.io,2026-03-14,delivered,mobile,19060.00
1036,egor@shop.io,2026-03-07,shipped,web,10480.00
1037,vera@shop.io,2026-01-14,cancelled,web,11980.00
1038,vera@shop.io,2026-02-11,delivered,mobile,10770.00
1039,vera@shop.io,2026-03-04,delivered,mobile,6490.00
1040,vera@shop.io,2026-01-12,cancelled,mobile,17970.00
1041,pavel@shop.io,2026-03-16,delivered,web,22170.00
1042,lidia@shop.io,2026-03-25,delivered,mobile,13580.00
1043,timur@shop.io,2026-02-12,delivered,mobile,18990.00
1044,timur@shop.io,2026-01-21,shipped,mobile,25480.00
1045,timur@shop.io,2026-02-25,shipped,web,2990.00
1046,sofia@shop.io,2026-03-28,delivered,mobile,8570.00
1047,sofia@shop.io,2026-03-09,delivered,mobile,29960.00
1048,sofia@shop.io,2026-03-29,delivered,mobile,6990.00
1049,sofia@shop.io,2026-03-10,shipped,web,16160.00
1050,nina@shop.io,2026-02-21,delivered,mobile,8990.00
1051,nina@shop.io,2026-04-01,shipped,web,7490.00
1052,nina@shop.io,2026-03-28,delivered,mobile,1790.00
1053,nina@shop.io,2026-02-15,delivered,mobile,12980.00
1054,kirill@shop.io,2026-03-27,delivered,web,18470.00
1055,kirill@shop.io,2026-03-27,cancelled,mobile,1990.00
1056,kirill@shop.io,2026-04-01,shipped,mobile,8570.00
1057,kirill@shop.io,2026-03-18,cancelled,mobile,13270.00
1058,mult1@shop.io,2026-03-29,delivered,web,11990.00
1059,mult1@shop.io,2026-03-24,delivered,web,17770.00
1060,mult1@shop.io,2026-03-24,shipped,mobile,10780.00
1061,mult1@shop.io,2026-03-26,delivered,web,7490.00
1062,mult2@shop.io,2026-03-31,delivered,web,1590.00
1063,mult2@shop.io,2026-03-24,delivered,web,18990.00
1064,mult2@shop.io,2026-03-25,shipped,web,17150.00
1065,mult3@shop.io,2026-03-31,delivered,mobile,11570.00
1066,mult4@shop.io,2026-04-01,shipped,web,18070.00
1067,mult4@shop.io,2026-03-23,delivered,mobile,3490.00
1068,mult4@shop.io,2026-03-26,delivered,mobile,6780.00
1069,mult4@shop.io,2026-03-29,shipped,mobile,1790.00
1070,banned1@shop.io,2026-03-02,delivered,web,5780.00
1071,banned1@shop.io,2026-03-31,delivered,mobile,8280.00
1072,banned1@shop.io,2026-03-31,delivered,web,4480.00
