reviewId,email,sku,rating,createdAt
r-0001,maria@shop.io,HP-500,5,2026-02-28
r-0002,daria@shop.io,TX-800,2,2026-03-22
r-0003,elena@shop.io,TX-800,4,2026-03-02
r-0004,olga@shop.io,HP-501,5,2026-01-13
r-0005,julia@shop.io,LP-701,1,2026-02-02
r-0006,denis@shop.io,BL-410,5,2026-01-11
r-0007,ksenia@shop.io,TX-801,5,2026-03-25
r-0008,ksenia@shop.io,TX-800,5,2026-03-15
r-0009,ksenia@shop.io,SP-600,5,2026-03-15
r-0010,ksenia@shop.io,HP-511,5,2026-03-21
r-0011,alina@shop.io,HP-500,5,2026-03-25
r-0012,egor@shop.io,BL-400,3,2026-03-14
r-0013,egor@shop.io,SP-601,1,2026-03-14
r-0014,egor@shop.io,BL-400,5,2026-03-07
r-0015,vera@shop.io,LP-700,4,2026-01-14
r-0016,vera@shop.io,KT-300,4,2026-02-11
r-0017,vera@shop.io,LP-701,3,2026-01-12
r-0018,vera@shop.io,CM-100,5,2026-01-12
r-0019,pavel@shop.io,TX-801,4,2026-03-16
r-0020,pavel@shop.io,CM-110,3,2026-03-16
r-0021,sofia@shop.io,CM-101,1,2026-03-28
r-0022,sofia@shop.io,KT-310,4,2026-03-10
r-0023,nina@shop.io,SP-601,3,2026-02-21
r-0024,nina@shop.io,GR-201,5,2026-04-01
r-0025,kirill@shop.io,GR-210,3,2026-04-01
r-0026,mult1@shop.io,HP-510,5,2026-03-29
r-0027,mult1@shop.io,HP-510,1,2026-03-24
r-0028,mult1@shop.io,GR-201,2,2026-03-24
r-0029,mult1@shop.io,GR-201,4,2026-03-26
r-0030,mult2@shop.io,TX-801,5,2026-03-31
r-0031,mult3@shop.io,KT-310,3,2026-03-31
r-0032,mult4@shop.io,HP-510,5,2026-04-01
r-0033,mult4@shop.io,HP-511,4,2026-03-26
r-0034,banned1@shop.io,HP-511,5,2026-03-31
r-0035,banned1@shop.io,KT-300,4,2026-03-31
