email,deviceId,cardId,addressId,loggedInAt
anna@shop.io,dev-001,card-001,addr-001,2026-02-27
ivan@shop.io,dev-002,card-002,addr-002,2026-03-13
petr@shop.io,dev-002,card-003,addr-002,2026-03-01
maria@shop.io,dev-004,card-004,addr-004,2026-02-27
oleg@shop.io,dev-005,card-005,addr-005,2026-03-07
daria@shop.io,dev-006,card-006,addr-006,2026-03-17
sergey@shop.io,dev-007,card-007,addr-007,2026-01-25
elena@shop.io,dev-008,card-008,addr-008,2026-01-24
nikita@shop.io,dev-009,card-009,addr-009,2026-03-07
olga@shop.io,dev-010,card-010,addr-010,2026-03-02
artem@shop.io,dev-011,card-011,addr-011,2026-03-22
julia@shop.io,dev-012,card-012,addr-012,2026-03-20
denis@shop.io,dev-013,card-013,addr-013,2026-01-24
ksenia@shop.io,dev-014,card-014,addr-014,2026-01-13
roman@shop.io,dev-015,card-015,addr-015,2026-02-27
alina@shop.io,dev-016,card-016,addr-016,2026-02-08
egor@shop.io,dev-017,card-017,addr-017,2026-01-19
vera@shop.io,dev-018,card-018,addr-018,2026-01-12
pavel@shop.io,dev-019,card-019,addr-019,2026-03-10
lidia@shop.io,dev-020,card-020,addr-020,2026-03-30
timur@shop.io,dev-021,card-021,addr-021,2026-03-23
sofia@shop.io,dev-022,card-022,addr-022,2026-01-06
gleb@shop.io,dev-023,card-023,addr-023,2026-03-18
nina@shop.io,dev-024,card-024,addr-024,2026-02-20
kirill@shop.io,dev-025,card-025,addr-025,2026-02-27
mult1@shop.io,dev-026,card-026,addr-026,2026-03-25
mult2@shop.io,dev-027,card-027,addr-027,2026-03-20
mult3@shop.io,dev-028,card-028,addr-028,2026-03-25
mult4@shop.io,dev-029,card-029,addr-029,2026-01-21
banned1@shop.io,dev-030,card-030,addr-030,2026-03-21
banned1@shop.io,dev-999,card-999,addr-999,2026-03-25
mult1@shop.io,dev-999,card-999,addr-999,2026-03-25
mult2@shop.io,dev-999,card-999,addr-999,2026-03-25
mult3@shop.io,dev-999,card-999,addr-999,2026-03-25
mult4@shop.io,dev-999,card-999,addr-999,2026-03-25
