email,sku,views
anna@shop.io,BL-400,10
anna@shop.io,HP-500,2
anna@shop.io,CM-101,6
anna@shop.io,CM-100,4
ivan@shop.io,SP-600,10
ivan@shop.io,CM-110,9
ivan@shop.io,SP-601,12
ivan@shop.io,HP-511,10
ivan@shop.io,CM-111,7
ivan@shop.io,HP-510,7
ivan@shop.io,CM-120,4
petr@shop.io,HP-500,5
petr@shop.io,CM-100,7
petr@shop.io,HP-501,1
petr@shop.io,LP-701,10
petr@shop.io,LP-700,2
petr@shop.io,CM-101,5
maria@shop.io,HP-500,4
maria@shop.io,HP-501,2
maria@shop.io,HP-510,2
maria@shop.io,CM-101,10
maria@shop.io,HP-511,2
oleg@shop.io,CM-100,3
oleg@shop.io,GR-201,3
oleg@shop.io,GR-210,8
oleg@shop.io,CM-101,8
oleg@shop.io,BL-401,12
daria@shop.io,KT-310,9
daria@shop.io,HP-500,6
daria@shop.io,TX-800,12
daria@shop.io,KT-300,3
daria@shop.io,KT-301,12
daria@shop.io,HP-501,12
daria@shop.io,TX-801,7
sergey@shop.io,HP-510,11
sergey@shop.io,KT-301,9
sergey@shop.io,HP-511,3
sergey@shop.io,KT-310,3
sergey@shop.io,KT-300,6
elena@shop.io,BL-401,8
elena@shop.io,BL-410,11
elena@shop.io,LP-700,12
nikita@shop.io,BL-401,1
nikita@shop.io,KT-301,4
nikita@shop.io,HP-511,8
nikita@shop.io,HP-510,3
olga@shop.io,HP-500,7
olga@shop.io,KT-300,8
artem@shop.io,CM-100,4
artem@shop.io,HP-511,12
artem@shop.io,CM-101,4
artem@shop.io,HP-510,2
artem@shop.io,HP-500,6
artem@shop.io,HP-501,1
julia@shop.io,KT-310,2
julia@shop.io,LP-700,6
julia@shop.io,LP-701,12
julia@shop.io,CM-111,2
julia@shop.io,CM-110,12
julia@shop.io,KT-301,11
denis@shop.io,BL-401,8
denis@shop.io,LP-701,8
denis@shop.io,SP-601,1
denis@shop.io,SP-600,1
denis@shop.io,BL-400,4
denis@shop.io,LP-700,9
ksenia@shop.io,HP-511,8
ksenia@shop.io,TX-800,2
ksenia@shop.io,SP-600,9
roman@shop.io,GR-201,4
roman@shop.io,GR-200,1
roman@shop.io,CM-101,3
roman@shop.io,BL-400,11
roman@shop.io,GR-210,6
roman@shop.io,BL-401,11
alina@shop.io,CM-101,5
alina@shop.io,HP-500,12
alina@shop.io,GR-210,12
egor@shop.io,BL-400,1
egor@shop.io,CM-100,2
vera@shop.io,CM-101,3
vera@shop.io,LP-701,3
vera@shop.io,SP-601,4
vera@shop.io,SP-600,12
pavel@shop.io,TX-800,4
pavel@shop.io,KT-301,8
pavel@shop.io,CM-111,6
pavel@shop.io,CM-110,9
pavel@shop.io,CM-120,8
pavel@shop.io,TX-801,2
lidia@shop.io,TX-801,9
lidia@shop.io,TX-800,1
timur@shop.io,CM-120,3
timur@shop.io,CM-111,12
timur@shop.io,CM-110,11
timur@shop.io,LP-700,5
timur@shop.io,CM-101,11
timur@shop.io,LP-701,1
timur@shop.io,CM-100,12
sofia@shop.io,HP-510,12
sofia@shop.io,CM-100,7
sofia@shop.io,HP-511,11
sofia@shop.io,BL-410,3
sofia@shop.io,BL-400,7
sofia@shop.io,CM-101,8
gleb@shop.io,CM-100,2
gleb@shop.io,CM-101,8
gleb@shop.io,CM-111,5
gleb@shop.io,CM-120,10
gleb@shop.io,CM-110,3
gleb@shop.io,GR-201,3
nina@shop.io,SP-600,9
nina@shop.io,SP-601,5
nina@shop.io,BL-410,11
nina@shop.io,HP-501,3
kirill@shop.io,HP-501,7
kirill@shop.io,GR-201,2
kirill@shop.io,TX-801,5
kirill@shop.io,HP-500,9
kirill@shop.io,TX-800,4
kirill@shop.io,GR-210,3
kirill@shop.io,GR-200,3
mult1@shop.io,GR-201,12
mult1@shop.io,TX-801,7
mult1@shop.io,GR-210,2
mult1@shop.io,GR-200,5
mult1@shop.io,TX-800,6
mult1@shop.io,HP-511,3
mult1@shop.io,HP-510,2
mult2@shop.io,CM-100,1
mult2@shop.io,TX-800,2
mult3@shop.io,KT-300,3
mult3@shop.io,CM-120,3
mult3@shop.io,KT-301,2
mult4@shop.io,BL-400,5
mult4@shop.io,BL-401,10
mult4@shop.io,HP-511,10
mult4@shop.io,BL-410,2
mult4@shop.io,HP-510,4
mult4@shop.io,HP-500,10
mult4@shop.io,HP-501,4
banned1@shop.io,HP-511,3
banned1@shop.io,KT-310,7
banned1@shop.io,CM-101,2
banned1@shop.io,KT-300,8
banned1@shop.io,KT-301,6
banned1@shop.io,CM-100,11
banned1@shop.io,HP-510,5
